ID,Название,Авторы,Издатель,Год выпуска,Платформа,Жанр,Дата выхода,Графика,Музыка,Язык интерфейса,Описание,Имя файла 1,Описание файла 1,Имя файла 2,Описание файла 2,Имя файла 3,Описание файла 3,Имя файла 4,Описание файла 4,Имя файла 5,Описание файла 5,Скриншот 1,Скриншот 2,Скриншот 3,Скриншот 4,Скриншот 5,Скриншот 6,Скриншот 7,Скриншот 8,Скриншот 9,Скриншот 10,Скриншот 11,Скриншот 12,Ссылка на страницу
2026321,БК Турбо 8 (BKTURBO8),gid,,2020,Windows,Ассемблер,,,,,"Кросс Ассемблер БК Турбо 8. Сделан на основе алгоритмов Turbo 8DK для Andos. Оригинальная система программирования на языке Ассемблера Turbo8DK являлась дальнейшим развитием ассемблеров серии TURBO (MicroWS, TURBO4H, TURBO5M, TURBO6M) и предназначалась для работы на БК10 с дополнительным ОЗУ 16К и на БК11. Кросс ассемблер БКТурбо8 предназначен для компиляции ассемблерных программ и создания исполняемых бинарных модулей, которые потом можно запускать на БК-0010(-01) и БК-0011(М).",bkturbo8.zip,,,,,,,,,,,,,,,,,,,,,,
2026369,STREAM COPY,Мачуговский А. (Manwe),,2020,,Копировщик,,,,,"Копировщик полезен для 'омолаживания' записей на кассетах и для копирования игр со сложной защитой: БК читает сигнал с магнитофона и перенаправляет его на выход в виде чистой прямоугольной волны.
2020г",stream_copy.zip,,,,,,,,,,,,,,,,,,,,,,
2026314,SPRITES,Плахотник Евгений,,2016,Windows,Редактор Спрайтов,,,,,"Программа предназначена для поиска спрайтов и картинок в программах для БК 0010-01. Точнее, в файлах .msf, создаваемых эмулятором Калмыкова и .bin. Если формат определить не удаётся, подразумевается .bin. Цель программы сэкономить время в случае, если кто-то, например, решил изучить или изменить код. Можно в считанные секунды понять, где код искать не стоит, а также выяснить адреса, по которым означенный код будет обращаться к конкретным спрайтам. Программа в комплекте документацией и с исходниками.",Sprites.zip,,Sprites_Source.zip,,,,,,,,,,,,,,,,,,,,
2026327,BkBinCreator,"Деев Александр, Русаков Андрей",DELTA group,2014,Windows,Утилита,,,,,"Программа предназначена для преобразования файлов Bin формата БК в обычный файл и наоборот, а также для изменения текущего адреса БК-BIN файла. Установите необходимый режим работы, затем перебросьте входной файл или файлы на иконку закрытой программы или в окно работающей программы.",bkbincreator.rar,,,,,,,,,,,,,,,,,,,,,,
2026322,CrossAsmPDP-11,Осипов Александр,,2013,Windows,Ассемблер,,,,,"Кросс-ассемблер БК-0010/11М v1.00 Написан в кодах IBM PC. Исходники в комплекте. Данная программа предназначена для компилирования исходных текстов в формате TURBO, ASM11 для БК-0010/11М. На выходе получается .BIN - файл откомпилированной для БК программы.",CrossAsm.zip,,,,,,,,,,,,,,,,,,,,,,
2026481,King's Valley Editor БК0010 (01),Gina,,2012,Windows,Утилита,17.09.12,,,,"Редактор игры King's Valley, версия игры для БК0010 (01). С помощью данного редактора Вы сможете отредактировать уже имеющиеся лабиринты или создать свои собственные, а подробная инструкция (в комплекте) Вам в этом поможет. В комплекте так же: инструкция, исходники редактора, стандартные лабиринты + Пак из 15 пирамид, авторское название ""Мечта Перфораста"" (Автор: Gina). А так же Бета-версия 2-й версии редактора. Для работы приложения у Вас должен быть установлен пакет Microsoft .NET Framework 4.",Valley_KVE.zip,,,,,,,,,,,,,,,,,,,,,,
12026424,bkunix,"Serge Vakulenko (sergev), Leonid Broukhis (leobru)",,2006,БК0011М,Операционная система,,,,,Unix V6 operating system for Soviet personal computer BK-0010/0011M - https://github.com/sergev/bkunix ,bkunix-master.zip,,,,,,,,,,,,,,,,,,,,,,
2026323,Транслятор ассемблера БК-0010/БК0010-01,Pufix,,1999,MS-DOS,Ассемблер,15.08.99,,,,Транслятор ассемблера БК-0010/БК0010-01. Версия 1.0 (от 15.08.1999). Исходники в комплекте.,bkasm.rar,,,,,,,,,,,,,,,,,,,,,,
2026421,NORD,Прудковский А. Г.,,1996,БК0010 (11М),Операционная система,,,,,NORD v3.5,nord-v3.5.zip,,,,,,,,,,,,,,,,,,,,,,
2026424,DX-DOS,А. В. Храмцов,,1995,БК0010 (11М),Операционная система,,,,,DX-DOS v1,DXDOS.zip,,,,,,,,,,,,,,,,,,,,,,
22026424,CSI-DOS,"Алексей Мельников, Владимир Кутяков (KUVO)",CAROLINE SOFTWARE,1995,БК0011М,Операционная система,,,,,"CSI-DOS — дисковая операционная система для персональных компьютеров БК-0011 и БК-0011М, сделанная в Самаре при тесном сотрудничестве Алексея Мельникова и Владимира Кутякова. CSI-DOS использовала свою уникальную файловую систему, и поддерживала только цветной графический режим работы. Система поддерживала работу с жёстким диском и дисководами. В памяти компьютера также создавался виртуальный электронный диск. Система была рассчитана на «продвинутых» пользователей, в частности, в её состав входили средства для работы с музыкальным сопроцессором AY-3-8910(12) и музыкальным устройством Covox. Существует ряд игр и демонстрационных программ, написанных специально для CSI-DOS. Для продвижения возможностей CSI-DOS и AY-3-8910 Алексеем Мельниковым был создан музыкальный редактор RockMonitor 3, который превосходил по своим возможностям ранее написанных собратьев на других платформах. CSI-DOS не получила сравнительно широкого распространения прежде всего из-за её высоких системных требований и отсутствия совместимости с более ранними и более дешёвыми компьютерами БК-0010 и БК-0010-01. Но, на базе CSI-DOS было создано большое количество учебных классов в Самарской области, которые представляли собой центральный (учительский) компьютер на базе БК-0011М, с установленной CSI-DOS и, связанных с ним учебных терминалов БК-0010, БК-0010-01, БК-0011М, подготовленных для удаленного обращения к данным центрального компьютера. В систему была встроена система Turbo Vision с удобным API, позволяющая легко создавать оконные приложения для CSI-DOS, а также файловая оболочка X-Shell.",CSIDOS.ver.3.20.Multi (rus).zip,,CSIDOS.ver.3.30.Multi (rus).zip,,,,,,,,,,,,,,,,,,,,
2026420,MKDOS,Королев М.,,1992,БК0010 (11М),Операционная система,,,,,Версии MKDOS с v1.10 до v3.17,mkdos.zip,,,,,,,,,,,,,,,,,,,,,,
2026419,AO-DOS,Осипов А.,,1992,БК0011М,Операционная система,,,,,AO-DOS v2.00,ao-dos-v2.00.zip,,,,,,,,,,,,,,,,,,,,,,
2026423,ОС-БК11 (RT-11),Саяпин А.А.,НПКП Интерсервер,1991,БК0011М,Операционная система,,,,,Версии RT-11 с v1.1 до v4.1,rt-11.zip,,,,,,,,,,,,,,,,,,,,,,
2026418,ANDOS,"Надежин А.М., Камнев С.Е.",,1990,БК0010 (11М),Операционная система,,,,,"Одна из лучших и популярнейших ОС на БК, Версии с v2.30 до v3.30 ",andos.zip,,,,,,,,,,,,,,,,,,,,,,
2026413,SPEAK MASHINE EDITOR,Косов К.В.,,1989,,Синтез речи,15.04.1989,,,,SPEAK MASHINE EDITOR v.15.04.1989,speak-mashine-editor.zip,,,,,,,,,,,,,,,,,,,,,,
2026343,БЕЙСИК 87,Прудковский,,1987,,Язык программирования,25.02.87,,,,БЕЙСИК 87 Версия от 25.02.87,basic02bk.zip,,,,,,,,,,,,,,,,,,,,,,
2026342,БЕЙСИК 85,Прудковский,,1985,,Язык программирования,15.06.85,,,,БЕЙСИК 85 Версия от 15.06.85,basic01bk.zip,,,,,,,,,,,,,,,,,,,,,,
2026280,BKFONT,,,,БК0010,Графическая,,,,,Cистема формирования символов пользователя для знакогенератора БК0010,bkfont-v.1.0.zip,,,,,,,,,,,,,,,,,,,,,,
2026281,GS,,,,,Графическая,,,,,Универсальная графическая система,gs.zip,,,,,,,,,,,,,,,,,,,,,,
2026282,PAINT12M,,,,,Графическая,,,,,,paint12m.zip,,,,,,,,,,,,,,,,,,,,,,
2026283,GREDIT,,,,,Графический редактор,,,,,"Peдaктop пpeднaзнaчeн для пoдгoтoвки гpaфичecкиx дaнныx, иcпoльзyeмыx в пpoгpaммax нa языкe acceмблepa, нaпиcaнныx пpи пoмoщи MИKPO11.01S",gredit-v.003.zip,,,,,,,,,,,,,,,,,,,,,,
2026284,PAINT,,,,,Графическая,,,,,,paint.zip,,,,,,,,,,,,,,,,,,,,,,
2026285,MULTFOCAL,,,,,Графическая,,,,,Программа мультфильмов (ФОКАЛ),screen_foc.zip,,,,,,,,,,,,,,,,,,,,,,
2026286,PAINT11M,Кумандин С.А.,,,,Графический редактор,,,,,Графический редактор аналогичный Paint от Microsoft. Управление в данной версии редактора с помощью джойстика или мыши,paint11mmouse.zip,,,,,,,,,,,,,,,,,,,,,,
2026287,ЦМУ,,,,,Графическая,,,,,,cmu2.zip,,cmu3.7z,,,,,,,,,,,,,,,,,,,,
2026288,MULTIBOX v.1.0,ALEM corp.,,,,Редактор Спрайтов,,,,,Редактор спрайтов,multibox-v.1.0.zip,,,,,,,,,,,,,,,,,,,,,,
